YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,water_l1,avg_water_l1
2017,4,2,3,41,54,1260.28,NULL
2017,4,2,3,56,52,1254.91,NULL
2017,4,2,4,13,2,1251.43,NULL
2017,4,2,4,26,51,1258.12,NULL
2017,4,2,4,41,51,1250.02,NULL
2017,4,2,5,14,17,1266.12,NULL
2017,4,2,5,26,51,1260.24,NULL
2017,4,2,5,41,50,1260.75,NULL
2017,4,2,5,58,29,1264.34,NULL
2017,4,2,6,11,49,1260.6,NULL
2017,4,2,6,28,28,1272.26,NULL
2017,4,2,6,41,50,1268.68,NULL
2017,4,2,6,58,0,1274.07,NULL
2017,4,2,7,11,49,1266.95,NULL
2017,4,2,7,28,4,1267.53,NULL
2017,4,2,7,41,50,1266.28,NULL
2017,4,2,7,58,0,1253.93,NULL
2017,4,2,8,11,50,1269.65,NULL
2017,4,2,8,28,18,1260.44,NULL
2017,4,2,8,41,50,1255.07,NULL
2017,4,2,8,58,2,1254.62,NULL
2017,4,2,9,11,49,1246.75,NULL
2017,4,2,9,27,59,1249.62,NULL
2017,4,2,9,41,50,1245.21,NULL
2017,4,2,9,58,28,1247.32,NULL
2017,4,2,10,11,51,1244.2,NULL
2017,4,2,10,26,50,1246.59,NULL
2017,4,2,10,44,18,1242.03,NULL
2017,4,2,11,1,0,1238.67,NULL
2017,4,2,11,17,10,1246.08,NULL
2017,4,2,11,26,49,1251.33,NULL
2017,4,2,11,43,7,1237.72,NULL
2017,4,2,11,56,50,1237.79,NULL
2017,4,2,12,14,13,1249.32,NULL
2017,4,2,12,26,50,1242.62,NULL
2017,4,2,12,41,49,1245.58,NULL
2017,4,2,12,58,8,1247.58,NULL
2017,4,2,13,11,50,1245.54,NULL
2017,4,2,13,28,9,1242.29,NULL
2017,4,2,13,44,22,1250.54,NULL
2017,4,2,13,56,53,1249.97,NULL
2017,4,2,14,11,50,1239.44,NULL
2017,4,2,14,43,1,1249.29,NULL
2017,4,2,14,56,50,1235.85,NULL
2017,4,2,15,13,0,1239.63,NULL
2017,4,2,15,26,51,1242.75,NULL
2017,4,2,15,43,1,1233.51,NULL
2017,4,2,15,56,50,1244.13,NULL
2017,4,2,16,13,28,1247.52,NULL
2017,4,2,16,26,50,1245.16,NULL
2017,4,2,16,41,50,1247.73,NULL
2017,4,2,16,58,3,1247.3,NULL
2017,4,2,17,14,19,1244.39,NULL
2017,4,2,17,26,51,1247.02,NULL
2017,4,2,17,43,1,1255.2,NULL
2017,4,2,17,59,17,1251.49,NULL
2017,4,2,18,11,50,1252.05,NULL
2017,4,2,18,26,50,1261.25,NULL
2017,4,2,18,43,30,1257.56,NULL
2017,4,2,18,56,53,1252.1,NULL
2017,4,2,19,11,51,1262.71,NULL
2017,4,2,19,26,50,1266.81,NULL
2017,4,2,19,41,50,1264.06,NULL
2017,4,2,19,58,2,1260.55,NULL
2017,4,2,20,11,51,1262.06,NULL
2017,4,2,20,29,17,1263.05,NULL
2017,4,2,20,41,50,1262.01,NULL
2017,4,2,20,58,21,1267.38,NULL
2017,4,2,21,15,59,1265.59,NULL
2017,4,2,21,26,50,1264.83,NULL
2017,4,2,21,59,12,1268.08,NULL
2017,4,2,22,16,3,1265.69,NULL
2017,4,2,22,26,50,1267.18,NULL
2017,4,2,22,43,0,1264.24,NULL
2017,4,2,22,59,18,1270.6,NULL
2017,4,2,23,15,59,1268.91,NULL
2017,4,2,23,26,51,1269.42,NULL
2017,4,2,23,43,0,1278.32,NULL
2017,4,3,0,26,51,1264.41,NULL
2017,4,3,0,41,51,1272.15,NULL
2017,4,3,0,56,49,1281.58,NULL
2017,4,3,1,13,0,1274.93,NULL
2017,4,3,1,26,51,1277.96,NULL
2017,4,3,2,0,57,1277.31,NULL
2017,4,3,2,11,51,1280.25,NULL
2017,4,3,2,26,50,1278.37,NULL
2017,4,3,2,43,29,1278.17,NULL
2017,4,3,2,56,55,1275.51,NULL
2017,4,3,3,11,50,1269.66,NULL
2017,4,3,3,29,17,1266.94,NULL
2017,4,3,3,41,50,1267.67,NULL
2017,4,3,3,58,1,1266.66,NULL
2017,4,3,4,29,19,1264.88,NULL
2017,4,3,4,41,50,1252.74,NULL
2017,4,3,4,58,1,1258.84,NULL
2017,4,3,5,11,51,1258.71,NULL
2017,4,3,5,28,1,1256.45,NULL
2017,4,3,5,41,51,1256.15,NULL
2017,4,3,5,56,50,1263.49,NULL
2017,4,3,6,13,5,1266.37,NULL
2017,4,3,6,26,53,1264.27,NULL
2017,4,3,6,43,2,1252.88,NULL
2017,4,3,6,56,50,1254.2,NULL
2017,4,3,7,13,32,1259.85,NULL
2017,4,3,7,26,52,1264.43,NULL
2017,4,3,7,41,51,1260.19,NULL
2017,4,3,7,58,2,1258.87,NULL
2017,4,3,8,11,50,1257.14,NULL
2017,4,3,8,28,0,1255.53,NULL
2017,4,3,8,41,51,1248.71,NULL
2017,4,3,8,58,29,1248.23,NULL
2017,4,3,9,11,51,1248.74,NULL
2017,4,3,9,29,18,1244.04,NULL
2017,4,3,9,41,50,1244.52,NULL
2017,4,3,9,58,0,1234.39,NULL
2017,4,3,10,11,51,1233.14,NULL
2017,4,3,10,26,51,1234.36,NULL
2017,4,3,10,43,2,1236.33,NULL
2017,4,3,10,56,51,1237.34,NULL
2017,4,3,11,13,32,1230.85,NULL
2017,4,3,11,26,51,1232.24,NULL
2017,4,3,11,43,1,1234.97,NULL
2017,4,3,12,17,6,1238.64,NULL
2017,4,3,12,27,23,1239.74,NULL
2017,4,3,13,11,52,1233,NULL
2017,4,3,13,28,14,1237.02,NULL
2017,4,3,13,44,24,1240.94,NULL
2017,4,3,14,1,40,1244.95,NULL
2017,4,3,14,11,50,1242.5,NULL
2017,4,3,14,28,1,1245.18,NULL
2017,4,3,14,41,59,1243.24,NULL
2017,4,3,14,56,51,1237.29,NULL
2017,4,3,15,11,51,1239.65,NULL
2017,4,3,15,28,29,1237.21,NULL
2017,4,3,15,41,52,1233.43,NULL
2017,4,3,15,58,1,1232.08,NULL
2017,4,3,16,11,53,1232.71,NULL
2017,4,3,16,26,51,1238.42,NULL
2017,4,3,16,41,51,1233.09,NULL
2017,4,3,16,58,1,1234.95,NULL
2017,4,3,17,11,54,1230.64,NULL
2017,4,3,17,26,51,1233.64,NULL
2017,4,3,17,43,6,1231.04,NULL
2017,4,3,17,56,50,1233.17,NULL
2017,4,3,18,13,28,1236.94,NULL
2017,4,3,18,26,53,1235.17,NULL
2017,4,3,18,41,51,1236.81,NULL
2017,4,3,18,57,58,1240.22,NULL
2017,4,3,19,11,54,1242.8,NULL
2017,4,3,19,29,18,1244.07,NULL
2017,4,3,19,41,52,1242.14,NULL
2017,4,3,19,58,32,1242.92,NULL
2017,4,3,20,11,51,1247.06,NULL
2017,4,3,20,29,15,1243.18,NULL
2017,4,3,20,46,3,1246.24,NULL
2017,4,3,20,56,52,1246.31,NULL
2017,4,3,21,14,0,1242.74,NULL
2017,4,3,21,26,52,1244.47,NULL
2017,4,3,21,43,7,1252.25,NULL
2017,4,3,21,56,52,1249.19,NULL
2017,4,3,22,11,51,1245.48,NULL
2017,4,3,22,28,30,1248.39,NULL
